test.subset,train.subsets,learner_name,task_id,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro
balanced,other,conv_CE_unweighted,FashionMNIST_seed1_prop0.001,0.91446860631307,0.00441230675725522,0.91429062684377,0.00979431668303091
unbalanced,other,conv_CE_unweighted,FashionMNIST_seed1_prop0.001,0.973577578862508,0.00169873504924285,0.966448247432709,0.00333899633991344
balanced,same,conv_CE_unweighted,FashionMNIST_seed1_prop0.001,0.974554697672526,0.00152193369023909,0.963947693506877,0.00144695819402469
unbalanced,same,conv_CE_unweighted,FashionMNIST_seed1_prop0.001,0.977110306421916,0.00419903500812322,0.917734742164612,0.0416647317162497
balanced,other,conv_Macro_AUM,FashionMNIST_seed1_prop0.001,0.553062717119853,0.00785552971581787,0.895197669665019,0.0224478103085128
unbalanced,other,conv_Macro_AUM,FashionMNIST_seed1_prop0.001,0.543751279513041,0.0183425262341111,0.917351444562276,0.0113879791167517
balanced,same,conv_Macro_AUM,FashionMNIST_seed1_prop0.001,0.559088389078776,0.0183198957349996,0.901522517204285,0.0220242326044124
unbalanced,same,conv_Macro_AUM,FashionMNIST_seed1_prop0.001,0.512939741214117,0.0139058544839981,0.909390509128571,0.0115607976778237
balanced,other,conv_Micro_AUM,FashionMNIST_seed1_prop0.001,0.84268577893575,0.0045376277526567,0.886683265368144,0.0260098729292934
unbalanced,other,conv_Micro_AUM,FashionMNIST_seed1_prop0.001,0.923145453135172,0.00260005438585428,0.954313119252523,0.00770249201459709
balanced,same,conv_Micro_AUM,FashionMNIST_seed1_prop0.001,0.914583643277486,0.0205094489269282,0.954921762148539,0.00516518278603512
unbalanced,same,conv_Micro_AUM,FashionMNIST_seed1_prop0.001,0.906807482242584,0.0170143141597667,0.916579107443492,0.0133008749185865
balanced,other,conv_CE_weighted,FashionMNIST_seed1_prop0.001,0.958712756633759,0.00203726403511521,0.958827515443166,0.00184789945957131
unbalanced,other,conv_CE_weighted,FashionMNIST_seed1_prop0.001,0.972380816936493,0.00159039140096593,0.964614689350128,0.00272739893126245
balanced,same,conv_CE_weighted,FashionMNIST_seed1_prop0.001,0.973195334275564,0.00287991141425362,0.962865253289541,0.00315443173493728
unbalanced,same,conv_CE_weighted,FashionMNIST_seed1_prop0.001,0.976380407810211,0.000649310405941965,0.969139099121094,0.000908362145723915
balanced,other,conv_CE_unweighted,FashionMNIST_seed2_prop0.01,0.932880699634552,0.00512705714138138,0.936875184377035,0.00326770587776473
unbalanced,other,conv_CE_unweighted,FashionMNIST_seed2_prop0.01,0.977130730946859,0.00391007962807949,0.968467136224111,0.00387893157887756
balanced,same,conv_CE_unweighted,FashionMNIST_seed2_prop0.01,0.972657640775045,0.00260801475730126,0.962074637413025,0.00387076909127787
unbalanced,same,conv_CE_unweighted,FashionMNIST_seed2_prop0.01,0.975441833337148,0.00225924477539953,0.940324087937673,0.0164441788616863
balanced,other,conv_Macro_AUM,FashionMNIST_seed2_prop0.01,0.555385986963908,0.00158365327771916,0.925360997517904,0.0124723328382295
unbalanced,other,conv_Macro_AUM,FashionMNIST_seed2_prop0.01,0.54822434981664,0.0432180756365802,0.92616879940033,0.0175284570930574
balanced,same,conv_Macro_AUM,FashionMNIST_seed2_prop0.01,0.550753057003021,0.00836260237008795,0.898169974486033,0.0160862752492027
unbalanced,same,conv_Macro_AUM,FashionMNIST_seed2_prop0.01,0.541162729263306,0.0220340586331458,0.889919638633728,0.0114280771012385
balanced,other,conv_Micro_AUM,FashionMNIST_seed2_prop0.01,0.880209763844808,0.0115984050153318,0.910545448462168,0.0320778454279599
unbalanced,other,conv_Micro_AUM,FashionMNIST_seed2_prop0.01,0.92346320549647,0.0143232784212088,0.948590238889058,0.00259432344793921
balanced,same,conv_Micro_AUM,FashionMNIST_seed2_prop0.01,0.912886003653208,0.0368586747182937,0.949397305647532,0.00279846106105248
unbalanced,same,conv_Micro_AUM,FashionMNIST_seed2_prop0.01,0.902444283167521,0.0339847326920393,0.8932945728302,0.0181636055888807
balanced,other,conv_CE_weighted,FashionMNIST_seed2_prop0.01,0.970249931017558,0.0016856215855567,0.960308531920115,0.00325928416939408
unbalanced,other,conv_CE_weighted,FashionMNIST_seed2_prop0.01,0.97179784377416,0.00277726677312139,0.961702744166056,0.00343275046248664
balanced,same,conv_CE_weighted,FashionMNIST_seed2_prop0.01,0.972839097181956,0.0033829996380063,0.962621470292409,0.0027648468342947
unbalanced,same,conv_CE_weighted,FashionMNIST_seed2_prop0.01,0.975875814755758,0.00050173218098993,0.962545176347097,0.00407376485561978
balanced,other,conv_CE_unweighted,FashionMNIST_seed1_prop0.1,0.960668722788493,0.003329875858128,0.955732385317484,0.00208194910819323
unbalanced,other,conv_CE_unweighted,FashionMNIST_seed1_prop0.1,0.973736047744751,0.000436281485435607,0.963955660661062,0.00112832194009905
balanced,same,conv_CE_unweighted,FashionMNIST_seed1_prop0.1,0.97096304098765,0.00723823269373647,0.962689956029256,0.00462395249669014
unbalanced,same,conv_CE_unweighted,FashionMNIST_seed1_prop0.1,0.975722988446554,0.00147518208536134,0.963412324587504,0.00202559573312148
balanced,other,conv_Macro_AUM,FashionMNIST_seed1_prop0.1,0.555354555447896,0.0103556624854037,0.895775298277537,0.00478978715404373
unbalanced,other,conv_Macro_AUM,FashionMNIST_seed1_prop0.1,0.555965185165405,0.0384661411653674,0.914279739061991,0.0145205122716539
balanced,same,conv_Macro_AUM,FashionMNIST_seed1_prop0.1,0.560354848702749,0.0126592302285685,0.901448706785838,0.0116772521186477
unbalanced,same,conv_Macro_AUM,FashionMNIST_seed1_prop0.1,0.549951175848643,0.0424778020582065,0.907341440518697,0.0088950557702676
balanced,other,conv_Micro_AUM,FashionMNIST_seed1_prop0.1,0.91259104013443,0.0187582266189551,0.923469483852386,0.0132309662257548
unbalanced,other,conv_Micro_AUM,FashionMNIST_seed1_prop0.1,0.921706199645996,0.0133945180649691,0.948808530966441,0.0110017203507772
balanced,same,conv_Micro_AUM,FashionMNIST_seed1_prop0.1,0.942521254221598,0.0112630051701596,0.953127821286519,0.00535636003308632
unbalanced,same,conv_Micro_AUM,FashionMNIST_seed1_prop0.1,0.913900931676229,0.0227390962822503,0.93412454922994,0.0107727725368552
balanced,other,conv_CE_weighted,FashionMNIST_seed1_prop0.1,0.972669462362925,0.00299513286935349,0.963896751403809,0.00165117500975941
unbalanced,other,conv_CE_weighted,FashionMNIST_seed1_prop0.1,0.973451972007751,0.0048427883081313,0.963854670524597,0.00468482743401421
balanced,same,conv_CE_weighted,FashionMNIST_seed1_prop0.1,0.974499841531118,0.000902420928647227,0.964404344558716,0.0011615731335899
unbalanced,same,conv_CE_weighted,FashionMNIST_seed1_prop0.1,0.974167684713999,0.00144540709358477,0.964253425598145,0.00184098380956912
